,opt-conf_3.xyz,opt-conf_2.xyz,opt-conf_10.xyz,opt-conf_8.xyz,opt-conf_1.xyz,opt-conf_7.xyz,opt-conf_5.xyz,opt-conf_6.xyz,opt-conf_9.xyz,opt-conf_4.xyz
opt-conf_3.xyz,0.0,0.11981461491629952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394389475364256
opt-conf_2.xyz,0.11981461491629952,0.0,0.0,0.0,0.7962447460650032,0.0,0.0,0.0,0.0,0.0
opt-conf_10.xyz,0.0,0.0,0.0,0.22762994223583674,0.0,0.5365375938913884,0.0,0.8447396612082706,0.2659641059687775,0.0
opt-conf_8.xyz,0.0,0.0,0.22762994223583674,0.0,0.0,0.32200022340511897,0.0,0.2751841798431624,0.21467617955397986,0.143066250086078
opt-conf_1.xyz,0.0,0.7962447460650032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
opt-conf_7.xyz,0.0,0.0,0.5365375938913884,0.32200022340511897,0.0,0.0,0.0,0.7065274489882284,0.2345198260105011,0.0
opt-conf_5.xyz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11397126896986542
opt-conf_6.xyz,0.0,0.0,0.8447396612082706,0.2751841798431624,0.0,0.7065274489882284,0.0,0.0,0.267072469582434,0.0
opt-conf_9.xyz,0.0,0.0,0.2659641059687775,0.21467617955397986,0.0,0.2345198260105011,0.0,0.267072469582434,0.0,0.3879756727910014
opt-conf_4.xyz,0.2394389475364256,0.0,0.0,0.143066250086078,0.0,0.0,0.11397126896986542,0.0,0.3879756727910014,0.0
